month,base_emissions
0,5037878.787878788
1,4941408.768536428
2,4844938.749194069
3,4748468.729851709
4,4651998.710509349
5,4555528.6911669895
6,4459058.671824629
7,4362588.652482269
8,4266118.63313991
9,4169648.61379755
10,4073178.5944551905
11,3976708.575112831
12,3880238.5557704708
13,3783768.536428111
14,3687298.5170857515
15,3590828.4977433914
16,3494358.478401032
17,3397888.459058672
18,3301418.439716312
19,3204948.420373952
20,3108478.401031593
21,3012008.381689233
22,2915538.362346873
23,2819068.3430045135
24,2722598.323662154
25,2626128.304319794
26,2529658.284977434
27,2433188.265635074
28,2336718.2462927145
29,2240248.226950355
30,2143778.207607995
31,2047308.1882656352
32,1950838.1689232755
33,1854368.149580916
34,1757898.1302385558
35,1661428.1108961962
36,1564958.0915538366
37,1468488.072211477
38,1372018.0528691164
39,1275548.0335267568
40,1179078.0141843972
41,1082607.9948420376
42,986137.9754996779
43,889667.9561573179
44,793197.9368149582
45,696727.9174725981
46,600257.898130239
47,503787.8787878789
48,683060.5555555556
49,706984.5659722224
50,734289.3055555556
51,762665.078125
52,792066.5625
53,822530.9375
54,853862.8819444445
55,886459.5746527779
56,920170.6944444445
57,955123.420138889
58,991459.9305555555
59,1029427.404513889
60,1068710.5208333333
61,1109466.4583333335
62,1151886.4583333333
63,1195568.9583333333
64,1240858.9583333335
65,1287703.9583333335
66,1336171.4583333333
67,1386096.4583333337
68,1437718.9583333333
69,1490881.4583333337
70,1545478.9583333333
71,1601556.4583333333
72,1659383.9583333337
73,1655713.9583333333
74,1648356.4583333333
75,1640367.3958333333
76,1631431.770833333
77,1621392.083333333
78,1610518.3333333337
79,1598593.0208333337
80,1585721.1458333337
81,1571857.7083333337
82,1556882.7083333333
83,1540863.6458333333
84,1523913.0208333333
85,1569015.833333333
86,1616254.5833333333
87,1662622.3958333333
88,1708396.7708333333
89,1753840.2083333333
90,1798517.7083333333
91,1842819.2708333333
92,1886302.3958333333
93,1929342.0833333333
94,1971870.8333333333
95,2013873.645833333
96,2055050.520833333
97,2095978.958333333
98,2138158.958333333
99,2182088.958333333
100,2227446.4583333335
101,2274298.9583333335
102,2322833.9583333335
103,2372758.9583333335
104,2424448.9583333335
105,2477431.4583333335
106,2532103.9583333335
107,2588398.958333333
108,2646166.458333333
109,2642308.9583333335
110,2635146.458333333
111,2627089.895833334
112,2618019.2708333335
113,2607837.0833333335
114,2596625.8333333335
115,2584483.0208333335
116,2571506.1458333335
117,2557507.708333334
118,2542727.7083333335
119,2526558.645833334
