Month,Team Vesting,Team Vested,Investor Vesting,Investor Vested,DAO Vesting,DAO Vested,Emissions,Burn,Circulating Supply,Total Supply,Team Contribution,Investor Contribution,DAO Contribution,Emissions Contribution
0,0.0,0.0,0.0,0.0,50000000.0,50000000.0,0.0,0.0,50000000.0,0.0,0.0,0.0,50000000.0,0.0
1,0.0,0.0,0.0,0.0,8958333.333333334,58958333.333333336,5673352.083333333,696590.1407069849,63935095.275959685,5673352.083333333,0.0,0.0,58958333.333333336,4976761.942626348
2,0.0,0.0,0.0,0.0,8958333.333333334,67916666.66666667,5673352.083333333,1097093.300064602,77469687.39256176,11346704.166666666,0.0,0.0,67916666.66666667,9553020.725895079
3,0.0,0.0,0.0,0.0,8958333.333333334,76875000.0,5673352.083333333,1395273.2308012003,90706099.57842721,17020056.25,0.0,0.0,76875000.0,13831099.578427214
4,0.0,0.0,0.0,0.0,8958333.333333334,85833333.33333333,5673352.083333333,1633950.1323608216,103703834.86273305,22693408.333333332,0.0,0.0,85833333.33333333,17870501.529399723
5,0.0,0.0,0.0,0.0,8958333.333333334,94791666.66666666,5673352.083333333,1787564.0039639324,116547956.27543578,28366760.416666664,0.0,0.0,94791666.66666666,21756289.608769123
6,0.0,0.0,0.0,0.0,8958333.333333334,103749999.99999999,5673352.083333333,1941354.05424735,129238287.63785511,34040112.5,0.0,0.0,103749999.99999999,25488287.63785511
7,0.0,0.0,0.0,0.0,8958333.333333334,112708333.33333331,5673352.083333333,2112280.348997028,141757692.7055247,39713464.58333333,0.0,0.0,112708333.33333331,29049359.372191407
8,0.0,0.0,0.0,0.0,8958333.333333334,121666666.66666664,5673352.083333333,2214086.8418201804,154175291.28037122,45386816.666666664,0.0,0.0,121666666.66666664,32508624.613704562
9,0.0,0.0,0.0,0.0,8958333.333333334,130624999.99999997,5673352.083333333,2291775.045768082,166515201.6512698,51060168.75,0.0,0.0,130624999.99999997,35890201.651269816
10,0.0,0.0,0.0,0.0,8958333.333333334,139583333.3333333,5673352.083333333,2410905.294435611,178735981.77350086,56733520.833333336,0.0,0.0,139583333.3333333,39152648.440167546
11,0.0,0.0,0.0,0.0,8958333.333333334,148541666.66666666,5673352.083333333,2473391.152723009,190894276.0374445,62406872.91666667,0.0,0.0,148541666.66666666,42352609.37077787
12,0.0,0.0,0.0,0.0,8958333.333333334,157500000.0,5673352.083333333,2553003.6251398292,202972957.82897136,68080225.0,0.0,0.0,157500000.0,45472957.82897137
13,10833333.333333334,10833333.333333334,10833333.333333334,10833333.333333334,8958333.333333334,166458333.33333334,5673352.083333333,2645442.8526779255,236625867.05962676,73753577.08333333,10833333.333333334,10833333.333333334,166458333.33333334,48500867.05962677
14,10833333.333333334,21666666.666666668,10833333.333333334,21666666.666666668,8958333.333333334,175416666.6666667,5673352.083333333,2656237.611589106,270267981.531371,79426929.16666666,21666666.666666668,21666666.666666668,175416666.6666667,51517981.53137099
15,10833333.333333334,32500000.0,10833333.333333334,32500000.0,8958333.333333334,184375000.00000003,5673352.083333333,2724763.844947622,303841569.76975673,85100281.25,32500000.0,32500000.0,184375000.00000003,54466569.76975672
16,10833333.333333334,43333333.333333336,10833333.333333334,43333333.333333336,8958333.333333334,193333333.33333337,5673352.083333333,2817282.538745797,337322639.3143443,90773633.33333333,43333333.333333336,43333333.333333336,193333333.33333337,57322639.31434424
17,10833333.333333334,54166666.66666667,10833333.333333334,54166666.66666667,8958333.333333334,202291666.66666672,5673352.083333333,2861097.173238835,370759894.22443885,96446985.41666666,54166666.66666667,54166666.66666667,202291666.66666672,60134894.22443874
18,10833333.333333334,65000000.00000001,10833333.333333334,65000000.00000001,8958333.333333334,211250000.00000006,5673352.083333333,2953691.8001183663,404104554.5076538,102120337.49999999,65000000.00000001,65000000.00000001,211250000.00000006,62854554.507653706
19,10833333.333333334,75833333.33333334,10833333.333333334,75833333.33333334,8958333.333333334,220208333.3333334,5673352.083333333,2968530.3032719614,437434376.2877152,107793689.58333331,75833333.33333334,75833333.33333334,220208333.3333334,65559376.28771507
20,10833333.333333334,86666666.66666667,10833333.333333334,86666666.66666667,8958333.333333334,229166666.66666675,5673352.083333333,3001524.5346474717,470731203.83640105,113467041.66666664,86666666.66666667,86666666.66666667,229166666.66666675,68231203.83640093
21,10833333.333333334,97500000.0,10833333.333333334,97500000.0,8958333.333333334,238125000.0000001,5673352.083333333,3136346.279022804,503893209.6407116,119140393.74999997,97500000.0,97500000.0,238125000.0000001,70768209.64071146
22,10833333.333333334,108333333.33333333,10833333.333333334,108333333.33333333,8958333.333333334,247083333.33333343,5673352.083333333,3128415.0130864554,537063146.7109584,124813745.8333333,108333333.33333333,108333333.33333333,247083333.33333343,73313146.71095833
23,10833333.333333334,119166666.66666666,10833333.333333334,119166666.66666666,8958333.333333334,256041666.66666678,5673352.083333333,3180199.9130435954,570181298.8812482,130487097.91666666,119166666.66666666,119166666.66666666,256041666.66666678,75806298.88124809
24,10833333.333333334,129999999.99999999,10833333.333333334,129999999.99999999,8958333.333333334,265000000.00000012,5673352.083333333,3173014.9499369273,603306636.0146446,136160450.0,129999999.99999999,129999999.99999999,265000000.00000012,78306636.0146445
25,10833333.333333334,140833333.3333333,10833333.333333334,140833333.3333333,8958333.333333334,273958333.33333343,5673352.083333333,3240360.0233201394,636364628.0746577,141833802.08333334,140833333.3333333,140833333.3333333,273958333.33333343,80739628.07465771
26,10833333.333333334,151666666.66666666,10833333.333333334,151666666.66666666,8958333.333333334,282916666.66666675,5673352.083333333,3299492.693608714,669363487.4643824,147507154.1666667,151666666.66666666,151666666.66666666,282916666.66666675,83113487.46438234
27,10833333.333333334,162500000.0,10833333.333333334,162500000.0,8958333.333333334,291875000.00000006,5673352.083333333,3293851.050276511,702367988.4974391,153180506.25000003,162500000.0,162500000.0,291875000.00000006,85492988.49743916
28,10833333.333333334,173333333.33333334,10833333.333333334,173333333.33333334,8958333.333333334,300833333.3333334,5673352.083333333,3379946.6936915694,735286393.8870809,158853858.33333337,173333333.33333334,173333333.33333334,300833333.3333334,87786393.88708094
29,10833333.333333334,184166666.6666667,10833333.333333334,184166666.6666667,8958333.333333334,309791666.6666667,5673352.083333333,3380768.4742673873,768203977.4961469,164527210.41666672,184166666.6666667,184166666.6666667,309791666.6666667,90078977.49614689
30,10833333.333333334,195000000.00000003,10833333.333333334,195000000.00000003,8958333.333333334,318750000.0,5673352.083333333,3423970.4784409623,801078359.1010392,170200562.50000006,195000000.00000003,195000000.00000003,318750000.0,92328359.10103928
31,10833333.333333334,205833333.33333337,10833333.333333334,205833333.33333337,8958333.333333334,327708333.3333333,5673352.083333333,3444882.3407101724,833931828.8436623,175873914.5833333,205833333.33333337,205833333.33333337,327708333.3333333,94556828.84366235
32,10833333.333333334,216666666.66666672,10833333.333333334,216666666.66666672,8958333.333333334,336666666.6666666,5673352.083333333,3561272.6082472294,866668908.3187485,181547266.66666666,216666666.66666672,216666666.66666672,336666666.6666666,96668908.31874846
33,10833333.333333334,227500000.00000006,10833333.333333334,227500000.00000006,8958333.333333334,345624999.99999994,5673352.083333333,3525884.563811084,899441375.8382707,187220618.75,227500000.00000006,227500000.00000006,345624999.99999994,98816375.83827072
34,10833333.333333334,238333333.3333334,10833333.333333334,238333333.3333334,8958333.333333334,354583333.33333325,5673352.083333333,3517742.7564806184,932221985.1651235,192893970.83333334,238333333.3333334,238333333.3333334,354583333.33333325,100971985.16512345
35,10833333.333333334,249166666.66666675,10833333.333333334,249166666.66666675,8958333.333333334,363541666.66666657,5673352.083333333,3612994.991158635,964907342.2572982,198567322.9166667,249166666.66666675,249166666.66666675,363541666.66666657,103032342.25729816
36,10833333.333333334,260000000.0000001,10833333.333333334,260000000.0000001,8958333.333333334,372499999.9999999,5673352.083333333,3566834.250602041,997638860.0900295,204240675.00000003,260000000.0000001,260000000.0000001,372499999.9999999,105138860.09002946
37,0.0,260000000.0000001,0.0,260000000.0000001,8958333.333333334,381458333.3333332,5673352.083333333,3645183.7529509855,1008625361.7537452,209914027.08333337,260000000.0000001,260000000.0000001,381458333.3333332,107167028.42041183
38,0.0,260000000.0000001,0.0,260000000.0000001,8958333.333333334,390416666.6666665,5673352.083333333,3591767.9230805254,1019665279.2473314,215587379.16666672,260000000.0000001,260000000.0000001,390416666.6666665,109248612.58066465
39,0.0,260000000.0000001,0.0,260000000.0000001,8958333.333333334,399374999.9999998,5673352.083333333,3639884.271843714,1030657080.3921542,221260731.25,260000000.0000001,260000000.0000001,399374999.9999998,111282080.39215422
40,0.0,260000000.0000001,0.0,260000000.0000001,8958333.333333334,408333333.33333313,5673352.083333333,3720882.6505697123,1041567883.158251,226934083.33333334,260000000.0000001,260000000.0000001,408333333.33333313,113234549.82491785
41,0.0,260000000.0000001,0.0,260000000.0000001,8958333.333333334,417291666.66666645,5673352.083333333,3765271.059285033,1052434297.5156327,232607435.4166667,260000000.0000001,260000000.0000001,417291666.66666645,115142630.84896617
42,0.0,260000000.0000001,0.0,260000000.0000001,8958333.333333334,426249999.99999976,5673352.083333333,3767645.6196839414,1063298337.3126155,238280787.50000003,260000000.0000001,260000000.0000001,426249999.99999976,117048337.31261557
43,0.0,260000000.0000001,0.0,260000000.0000001,8958333.333333334,435208333.3333331,5673352.083333333,3779813.283604321,1074150209.4456778,243954139.58333337,260000000.0000001,260000000.0000001,435208333.3333331,118941876.1123446
44,0.0,260000000.0000001,0.0,260000000.0000001,8958333.333333334,444166666.6666664,5673352.083333333,3795200.48833501,1084986694.3740094,249627491.66666672,260000000.0000001,260000000.0000001,444166666.6666664,120820027.70734292
45,0.0,260000000.0000001,0.0,260000000.0000001,8958333.333333334,453124999.9999997,5673352.083333333,3772034.0915096933,1095846345.6991665,255300843.75000006,260000000.0000001,260000000.0000001,453124999.9999997,122721345.69916657
46,0.0,260000000.0000001,0.0,260000000.0000001,8958333.333333334,462083333.333333,5673352.083333333,3822432.5371845006,1106655598.5786488,260974195.8333334,260000000.0000001,260000000.0000001,462083333.333333,124572265.2453154
47,0.0,260000000.0000001,0.0,260000000.0000001,8958333.333333334,471041666.6666663,5673352.083333333,3853368.758149862,1117433915.2371655,266647547.91666666,260000000.0000001,260000000.0000001,471041666.6666663,126392248.5704988
48,0.0,260000000.0000001,0.0,260000000.0000001,8958333.333333334,479999999.99999964,3354023.9015099504,3932961.5954864533,1125813310.876522,270001571.8181766,260000000.0000001,260000000.0000001,479999999.99999964,125813310.8765223
49,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3381483.452376282,3925465.431966923,1125269328.8969314,273383055.27055293,260000000.0000001,260000000.0000001,479999999.99999964,125269328.89693168
50,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3402504.578302477,3862505.967980551,1124809327.5072534,276785559.84885544,260000000.0000001,260000000.0000001,479999999.99999964,124809327.50725362
51,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3422809.9316699784,3964049.066065068,1124268088.3728583,280208369.7805254,260000000.0000001,260000000.0000001,479999999.99999964,124268088.3728585
52,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3447122.29123658,3955003.022912231,1123760207.6411824,283655492.07176197,260000000.0000001,260000000.0000001,479999999.99999964,123760207.64118284
53,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3464681.3191622687,3961981.7359643853,1123262907.2243805,287120173.3909242,260000000.0000001,260000000.0000001,479999999.99999964,123262907.2243807
54,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3479434.6199132204,4031845.09214139,1122710496.7521522,290599608.01083744,260000000.0000001,260000000.0000001,479999999.99999964,122710496.75215253
55,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3499249.58034753,4066853.047445411,1122142893.2850544,294098857.591185,260000000.0000001,260000000.0000001,479999999.99999964,122142893.28505471
56,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3520777.5626356113,4080703.400497569,1121582967.4471924,297619635.1538206,260000000.0000001,260000000.0000001,479999999.99999964,121582967.44719276
57,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3542190.281047803,4026367.061281445,1121098790.6669588,301161825.4348684,260000000.0000001,260000000.0000001,479999999.99999964,121098790.66695914
58,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3561265.253780684,4064929.193499196,1120595126.7272403,304723090.68864906,260000000.0000001,260000000.0000001,479999999.99999964,120595126.72724059
59,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3579452.5030042864,4107907.6285124025,1120066671.6017323,308302543.1916534,260000000.0000001,260000000.0000001,479999999.99999964,120066671.60173249
60,0.0,260000000.0000001,0.0,260000000.0000001,0.0,479999999.99999964,3598542.918281477,4150977.2938374006,1119514237.2261763,311901086.10993487,260000000.0000001,260000000.0000001,479999999.99999964,119514237.22617659
