month,total_emissions
0,7587121.212121212
1,7491967.01576268
2,7395697.648728367
3,7298141.80622185
4,7199305.760273346
5,7099186.970490018
6,6982164.1814626865
7,6864187.025135248
8,6745259.16478448
9,6625385.460004067
10,6504574.066383069
11,6382830.4200030435
12,6252871.156829364
13,6160365.420631801
14,6066252.368776515
15,5970536.434328928
16,5873224.453915816
17,5774318.129552722
18,5673821.665421404
19,5571739.871706425
20,5468078.46095006
21,5362845.882294502
22,5256044.370939063
23,5147683.444059686
24,5037764.142749069
25,4926296.3268211
26,4813287.312563026
27,4698744.786802092
28,4582671.696251668
29,4465078.608844152
30,4345972.605153181
31,4225362.282987011
32,4103257.1315906094
33,3979661.4423367195
34,3854591.1322734794
35,3728048.970951704
36,3600045.249832488
37,3454088.649577721
38,3307350.6120316815
39,3159780.869054036
40,3011389.925374669
41,2862184.695965522
42,2712173.109241215
43,2561366.1428744053
44,2409772.6908566076
45,2257400.6184741165
46,2104262.822809972
47,1950369.8266446232
48,1032470.2777777775
49,1067205.4861111112
50,1106636.5277777778
51,1147447.8472222222
52,1189447.6388888888
53,1232526.5972222222
54,1276342.9166666667
55,1321147.2916666665
56,1366642.9166666665
57,1412810.486111111
58,1459645.6944444443
59,1507249.236111111
60,1555159.305555556
61,1603386.5972222222
62,1652186.8055555557
63,1700947.4305555553
64,1750013.4722222222
65,1799332.4305555557
66,1848971.805555556
67,1898766.5972222227
68,1948956.8055555557
69,1999384.930555556
70,2049945.9722222222
71,2100684.930555556
72,2151871.8055555555
73,2113259.0972222225
74,2067219.3055555557
75,2017878.6805555562
76,1964922.2222222227
77,1908192.4305555553
78,1847959.3055555557
79,1784005.347222222
80,1716435.5555555557
81,1645204.9305555553
82,1570193.4722222222
83,1491468.6805555557
84,1409143.0555555553
85,1413201.5972222222
86,1424226.8055555557
87,1438352.430555556
88,1455855.9722222222
89,1476999.9305555557
90,1501349.3055555557
91,1870123.0286887183
92,2435600.82015023
93,2464397.1163407504
94,2495925.044012646
95,2530182.145445548
96,2566876.5604613647
97,2606643.037021826
98,2645811.5578366257
99,2685378.035598166
100,2724965.6789115416
101,2764703.2195904534
102,2804765.6181804137
103,2844823.6101874826
104,2885308.901853226
105,2925675.4311254495
106,2966414.989889909
107,3007378.1618242427
108,3048433.0811897707
109,3000708.4503820715
110,2963917.3004991207
111,2924925.409003323
112,2882918.7358012153
113,2837818.7767592384
114,2789724.149239701
115,2738711.9692222746
116,2684854.2298026076
117,2627944.5960694477
118,2568254.2267766288
119,2505130.1518367385
